year	month	data-type	region	extent	area	time
1994	7	Goddard	S	16.3	13.12	1994.54166666667
1994	8	Goddard	N	7.64	5.19	1994.625
1994	8	Goddard	S	17.84	14.49	1994.625
1994	9	Goddard	N	7.14	5.13	1994.70833333333
1994	9	Goddard	S	18.61	14.61	1994.70833333333
1994	10	Goddard	N	8.92	7.23	1994.79166666667
1994	10	Goddard	S	18.09	14.07	1994.79166666667
1994	11	Goddard	N	11.12	9.71	1994.875
1994	11	Goddard	S	15.88	11.78	1994.875
1994	12	Goddard	N	13.27	11.49	1994.95833333333
1994	12	Goddard	S	10.1	7.11	1994.95833333333
1995	1	Goddard	N	14.59	12.79	1995.04166666667
1995	1	Goddard	S	5.64	3.73	1995.04166666667
1995	2	Goddard	N	15.23	13.37	1995.125
1995	2	Goddard	S	3.56	2.19	1995.125
1995	3	Goddard	N	15.26	13.34	1995.20833333333
1995	3	Goddard	S	4.63	3.01	1995.20833333333
1995	4	Goddard	N	14.45	12.4	1995.29166666667
1995	4	Goddard	S	7.27	5.4	1995.29166666667
1995	5	Goddard	N	12.97	10.9	1995.375
1995	5	Goddard	S	10.42	8.19	1995.375
1995	6	Goddard	N	11.44	8.94	1995.45833333333
1995	6	Goddard	S	13.29	10.46	1995.45833333333
1995	7	Goddard	N	8.99	6.16	1995.54166666667
1995	7	Goddard	S	15.74	12.53	1995.54166666667
1995	8	Goddard	N	6.74	4.69	1995.625
1995	8	Goddard	S	17.78	14.2	1995.625
1995	9	Goddard	N	6.08	4.43	1995.70833333333
1995	9	Goddard	S	18.37	14.46	1995.70833333333
1995	10	Goddard	N	7.83	5.99	1995.79166666667
1995	10	Goddard	S	18.03	13.57	1995.79166666667
1995	11	Goddard	N	10.76	9.03	1995.875
1995	11	Goddard	S	15.63	11.49	1995.875
1995	12	Goddard	N	12.92	11.09	1995.95833333333
1995	12	Goddard	S	10.62	7.19	1995.95833333333
1996	1	Goddard	N	14.18	12.15	1996.04166666667
1996	1	Goddard	S	5.87	3.55	1996.04166666667
1996	2	Goddard	N	15.15	12.98	1996.125
1996	2	Goddard	S	2.98	1.77	1996.125
1996	3	Goddard	N	15.12	12.9	1996.20833333333
1996	3	Goddard	S	4.18	2.65	1996.20833333333
1996	4	Goddard	N	14.22	12.32	1996.29166666667
1996	4	Goddard	S	7.28	5.37	1996.29166666667
1996	5	Goddard	N	13.09	11.28	1996.375
1996	5	Goddard	S	10.92	8.65	1996.375
1996	6	Goddard	N	12.08	9.83	1996.45833333333
1996	6	Goddard	S	13.87	11.09	1996.45833333333
1996	7	Goddard	N	10.16	7.44	1996.54166666667
1996	7	Goddard	S	16.12	12.89	1996.54166666667
1996	8	Goddard	N	8.18	5.73	1996.625
1996	8	Goddard	S	17.74	13.9	1996.625
1996	9	Goddard	N	7.58	5.62	1996.70833333333
1996	9	Goddard	S	18.63	14.54	1996.70833333333
1996	10	Goddard	N	9.16	7.54	1996.79166666667
1996	10	Goddard	S	17.96	13.94	1996.79166666667
1996	11	Goddard	N	10.4	8.77	1996.875
1996	11	Goddard	S	15.72	11.24	1996.875
1996	12	Goddard	N	12.86	11.03	1996.95833333333
1996	12	Goddard	S	9.65	6.24	1996.95833333333
1997	1	Goddard	N	14.42	12.39	1997.04166666667
1997	1	Goddard	S	4.2	2.77	1997.04166666667
1997	2	Goddard	N	15.44	13.44	1997.125
1997	2	Goddard	S	2.49	1.72	1997.125
1997	3	Goddard	N	15.47	13.3	1997.20833333333
1997	3	Goddard	S	3.46	2.3	1997.20833333333
1997	4	Goddard	N	14.56	12.57	1997.29166666667
1997	4	Goddard	S	6.49	4.84	1997.29166666667
1997	5	Goddard	N	13.18	11.24	1997.375
1997	5	Goddard	S	10.12	7.91	1997.375
1997	6	Goddard	N	11.74	9.2	1997.45833333333
1997	6	Goddard	S	13.12	10.22	1997.45833333333
1997	7	Goddard	N	9.41	6.5	1997.54166666667
1997	7	Goddard	S	15.92	12.75	1997.54166666667
