sex	age	perceivedWeight	height	weight
Male	18	About the right weight	167.64	56.699
Male	19	Slightly overweight	167.64	77.11064
Male	16	Slightly overweight	190.5	95.25432
Female	18	About the right weight	162.56	47.173568
Female	17	About the right weight	160.02	49.89512
Male	17	About the right weight	170.18	63.50288
Male	17	About the right weight	175.26	72.57472
Male	15	About the right weight	177.8	63.50288
Male	16	Slightly overweight	175.26	68.0388
Female	19	Slightly overweight	167.64	58.96696
Male	16	About the right weight	167.64	61.23492
Male	17	Slightly overweight	182.88	99.79024
Female	16	Slightly overweight	170.18	87.996848
Female	18	About the right weight	175.26	58.96696
Female	17	Slightly overweight	165.1	74.84268
Female	16	About the right weight	165.1	54.43104
Male	20	Very overweight	180.34	131.54168
Female	17	Slightly overweight	167.64	63.50288
Male	16	About the right weight	185.42	83.91452
Male	16	About the right weight	175.26	65.77084
Male	16	Slightly overweight	177.8	81.192968
Female	17	About the right weight	160.02	56.699
Female	15	Slightly overweight	157.48	63.50288
Female	18	Slightly overweight	162.56	82.100152
Female	20	Very overweight	162.56	80.739376
Female	18	Slightly underweight	149.86	43.09124
Female	19	Slightly underweight	172.72	54.43104
Female	17	About the right weight	172.72	53.523856
Male	18	Slightly overweight	177.8	72.57472
Female	18	About the right weight	160.02	56.245408
Male	15	About the right weight	172.72	68.945984
Male	15	Slightly overweight	170.18	77.11064
Female	18	Slightly overweight	157.48	65.77084
Female	16	Slightly underweight	152.4	72.57472
Male	19	Slightly underweight	198.12	70.30676
Female	17	About the right weight	162.56	54.43104
Male	16	About the right weight	185.42	66.678024
Female	17	Slightly overweight	172.72	77.11064
Female	18	About the right weight	170.18	56.699
Male	15	About the right weight	170.18	60.327736
Male	15	About the right weight	187.96	81.64656
Male	15	Slightly overweight	185.42	95.25432
Female	19	About the right weight	165.1	67.131616
Female	17	About the right weight	165.1	53.070264
Male	15	About the right weight	172.72	61.23492
Female	16	About the right weight	162.56	54.43104
Male	18	Slightly underweight	170.18	77.11064
Male	16	About the right weight	172.72	70.30676
Female	18	Slightly overweight	162.56	68.0388
Male	17	Very overweight	180.34	90.7184
Female	19		170.18	53.523856
Male	17	About the right weight	175.26	77.11064
Female	17	About the right weight	160.02	68.0388
Male	17	Slightly overweight	177.8	77.11064
Male	17	About the right weight	182.88	75.749864
Female	15	Slightly underweight	152.4	39.008912
Male	18	Slightly underweight	180.34	65.77084
Male	18	Slightly overweight	187.96	104.32616
Female	16	About the right weight	165.1	54.43104
Female	16	Slightly overweight	170.18	63.50288
Female	19	About the right weight	154.94	43.09124
Female	18	About the right weight	170.18	56.699
Male	16	Slightly overweight	182.88	70.30676
Female	18	About the right weight	160.02	61.23492
Male	15	About the right weight	160.02	49.89512
Female	18	Slightly overweight	165.1	56.699
Male	17	About the right weight	190.5	81.64656
Male	19	About the right weight	190.5	79.3786
Male	17	Slightly overweight	190.5	106.59412
Male	15	About the right weight	185.42	56.699
Male	18	About the right weight	180.34	91.625584
Male	17	About the right weight	177.8	68.0388
Female	15	Very underweight	154.94	39.462504
Female	17	About the right weight	154.94	44.905608
Female	15	About the right weight	157.48	47.62716
Male	15	About the right weight	182.88	85.275296
Female	19	Slightly overweight	170.18	63.50288
Male	17	About the right weight	165.1	59.874144
Male	19	Slightly overweight	182.88	86.18248
Female	15	About the right weight	160.02	53.977448
Male	19	About the right weight	170.18	64.863656
Female	17	Slightly overweight	167.64	63.50288
Male	19	Slightly overweight	182.88	86.18248
Male	17	About the right weight	172.72	66.224432
Male	16	About the right weight	172.72	65.77084
Female	18	Slightly overweight	170.18	58.96696
Female	17	About the right weight	162.56	52.16308
Female	15	About the right weight	162.56	54.43104
Male	16	About the right weight	180.34	74.84268
Male	20	Slightly overweight	187.96	106.59412
Male	17	About the right weight	185.42	72.57472
Female	19	Slightly overweight	175.26	72.57472
Male	17	About the right weight	180.34	81.64656
Female	16	About the right weight	162.56	63.50288
Female	18	About the right weight	165.1	69.399576
Female	15	Slightly overweight	160.02	54.43104
Female	16	Very overweight	167.64	102.511792
Male	15	About the right weight	157.48	44.452016
Female	17	Slightly overweight	165.1	78.017824
Male	19	Slightly underweight	200.66	95.25432
Female	15	Slightly underweight	160.02	49.89512
Female	19	About the right weight	167.64	60.781328
Male	16	About the right weight	175.26	63.50288
Female	15	About the right weight	157.48	58.96696
Male	17	Slightly underweight	170.18	63.50288
Male	16	Slightly overweight	175.26	108.86208
Male	17	About the right weight	182.88	68.0388
Female	16	Slightly overweight	160.02	72.57472
Male	17	Slightly overweight	180.34	81.64656
Female	15	About the right weight	160.02	48.534344
Male	19	About the right weight	177.8	68.0388
Male	19	Slightly underweight	172.72	63.50288
Male	17	Slightly underweight	203.2	65.77084
Male	15	About the right weight	172.72	63.50288
Male	15	About the right weight	193.04	77.11064
Female	19	About the right weight	157.48	68.0388
Male	17	About the right weight	175.26	127.00576
Male	17	Slightly underweight	167.64	59.874144
Female	19	About the right weight	157.48	68.0388
Female	18	About the right weight	157.48	50.348712
Female	19	Slightly overweight	157.48	65.77084
Male	17	Slightly underweight	172.72	65.77084
Female	18	Slightly overweight	172.72	81.64656
Female	17	About the right weight	177.8	73.481904
Male	15	About the right weight	182.88	68.0388
Male	17	Slightly underweight	170.18	63.50288
Female	16	Slightly underweight	154.94	58.96696
Male	15	About the right weight	172.72	70.30676
Female	15	About the right weight	162.56	59.874144
Male	17	About the right weight	172.72	68.0388
Male	18	About the right weight	182.88	72.57472
Male	17	About the right weight	187.96	71.213944
Male	18	About the right weight	190.5	97.52228
Male	19	Slightly overweight	177.8	95.25432
Female	18	Slightly overweight	177.8	77.11064
Male	16	About the right weight	180.34	77.11064
Male	16	About the right weight	180.34	61.23492
Male	17	About the right weight	180.34	68.0388
Female	19	Slightly overweight	160.02	63.50288
Male	17	Slightly overweight	182.88	79.3786
Female	15	Very overweight	167.64	95.25432
Female	16	About the right weight	162.56	58.96696
Male	19	About the right weight	180.34	81.64656
Female	15	Slightly overweight	157.48	58.059776
Male	18	About the right weight	190.5	81.64656
Female	15	About the right weight	177.8	58.96696
Female	18	About the right weight	160.02	58.96696
Female	19	Slightly overweight	162.56	61.23492
Female	15	Slightly overweight	162.56	55.791816
